Procedure,Category,Type,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,Row
Applicable everywhere,,,Applicable everywhere,,,,,,"Previous Task, Current Task Next Task,",Time to initiation of action on current task; Time to next task,Every task cancellable through the interface,,,,,1
BEFORE TAKEOFF,NORM,Checklist,Takeoff clearance,CONFIRM,yellow,yellow,red,,TARS displays pilot's checklist progress; Pilotconfirms ATC clearance status.,Pilot anticipates TARS's checklist next steps.,Pilot can command TARS to recheck an item.,"ATC clearance status, checklist completion status.",Soft-time,30.0,One-off,2
BEFORE TAKEOFF,NORM,Checklist,Pitot-Static Switch,PITOT-STATIC,green,yellow,red,,TARS must display sensed pitot-static status to pilot.,,,Pitot-static switch status,Soft-time,120.0,One-off,3
BEFORE TAKEOFF,NORM,Checklist,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays sensed engine anti-ice status changes to pilot and requirement.,,,"Outside air temperature, engine anti-ice switch position.",Soft-time,30.0,Cyclic,4
BEFORE TAKEOFF,NORM,Checklist,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays windshield anti-ice status and requirement,TARS alerts pilot if anti-ice status deviates from requirement.,,"Windshield anti-ice switch position, current weather conditions.",Soft-time,60.0,One-off,5
BEFORE TAKEOFF,NORM,Checklist,PAX SAFETY Switch,PAX SAFETY,green,yellow,red,,TARS display PAX SAFETY switch status to pilot.,,,"PAX SAFETY switch position, checklist status.",soft-time,30.0,one-off,6
BEFORE TAKEOFF,NORM,Checklist,LANDING Light Switch,AS DESIRED,green,green,red,,TARS must display sensed light switch status.,Pilot expects TARS to suggest if it is suggested based on time of day.,,"Current runway conditions, weather, and aircraft status.",Soft-time,30.0,One-off,7
BEFORE TAKEOFF,NORM,Checklist,ANTI-COLL Light Switch,ON,green,yellow,red,,TARS display ANTI-COLL light switch status to pilot.,Pilot expects TARS to alert if ANTI-COLL light switch is off.,,"ANTI-COLL light switch position, checklist status.",soft-time,30.0,one-off,8
BEFORE TAKEOFF,NORM,Checklist,Radar,AS REQUIRED,yellow,yellow,red,,TARS displays radar status to pilot and requirement.,,,"Radar status, weather data, obstacle proximity.",Soft-time,30.0,Cyclic,9
LINE-UP AND HOLD,NORM,SOP,Runway centerline,ALIGN,yellow,red,red,,,,,"Runway alignment, wind speed/direction, aircraft heading.",Soft-time,30.0,Continuous,10
LINE-UP AND HOLD,NORM,SOP,Winds,CHECK,green,green,yellow,yellow,TARS displays available wind data and status. Pilot can enrich by crosschecking with visual information,,Both can perform in parallel and crosscheck,"Wind speed, direction, runway alignment.",Soft-time,30.0,Cyclic,11
LINE-UP AND HOLD,NORM,SOP,Brakes,HOLD,green,red,red,,,,,"Brake pressure, runway position, ATC clearance status.",Soft-time.,30.0,One-off.,12
TAKEOFF,NORM,Checklist,CAS,CHECK CLEAR,yellow,yellow,green,,Human must see TARS's CAS status updates.,Human must anticipate TARS's CAS check completion time.,,"CAS status, system alerts, checklist progress.",Soft-time,30.0,Cyclic,13
TAKEOFF,NORM,SOP,"""Set thrust""",ANNOUNCE,green,red,red,,,,,"Thrust lever position, engine RPM, N1, and takeoff checklist status.",Hard-time,10.0,One-off,14
TAKEOFF,NORM,SOP,THROTTLES,TO Detent,green,red,red,,,,,"Throttle position, engine parameters, runway conditions.",Hard-time,5.0,One-off,15
TAKEOFF,NORM,SOP,FADEC bug,CHECK TO,yellow,yellow,green,,TARS displays FADEC status changes to pilot.,,TARS direct human to RTO if FADEC fails,"FADEC status, engine parameters, TARS action log.",Soft-time,30.0,Continuous,16
TAKEOFF,NORM,SOP,Engine spool,CHECK EVEN,yellow,yellow,green,,Human sees TARS status on engine checks; TARS sees human's manual inputs.,,TARS direct human to RTO if engine spool is not even,"Engine RPM, temperature, pressure, and spool rate.",Soft-time,10.0,Continuous,17
TAKEOFF,NORM,SOP,"""Thrust set""",ANNOUNCE,green,green,green,,,,,"Thrust level, engine performance data, takeoff checklist status.",Hard-time,10.0,One-off,18
TAKEOFF,NORM,Checklist,Engine Instruments,CHECK NORMAL,yellow,yellow,green,,Human must see TARS' instrument check status updates.,,TARS direct human to RTO if engine spool is not even,"Engine RPM, oil pressure, temperature, fuel flow.",Soft-time,10.0,Monitoring,19
TAKEOFF,NORM,Checklist,Brakes,RELEASE,yellow,red,red,,,,,"Brake status, takeoff checklist completion.",Soft-time,10.0,One-off,20
TAKEOFF,NORM,SOP,"""Airspeed's alive""",ANNOUNCE,yellow,green,green,,TARS must display airspeed. Pilot must be able to hear announcement,"Pilot must anticipate TARS's ""Airspeed's alive"" announcement timing.",,"Current airspeed, runway conditions, aircraft weight.",Soft-time,10.0,One-off,21
TAKEOFF,NORM,SOP,"""70 kts""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""70 kts"" announcement.","Human expects TARS to announce ""70 kts"" at correct speed.",,"Airspeed, current phase of takeoff.",Hard-time,5.0,One-off,22
TAKEOFF,NORM,SOP,"""V1""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""V1"" announcement.","TARS announces ""V1"" timing based on takeoff speed and runway conditions.",,"Current airspeed, runway length, aircraft weight, wind conditions.",Hard-time,3.0,One-off,23
TAKEOFF,NORM,SOP,"""Rotate""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""ROTATE"" announcement.","TARS announces ""ROTATE"" timing based on takeoff speed and runway conditions.",,"Airspeed, runway length, aircraft weight, wind conditions.",Hard-time,5.0,One-off,24
TAKEOFF,NORM,Checklist,Elevator Control,ROTATE,yellow,red,red,,,,,"Airspeed, Vr speed, pitch attitude, runway length remaining.",Hard-time,5.0,One-off,25
TAKEOFF,NORM,SOP,Pitch,MAINTAIN 10°,yellow,red,red,,,,,"Current pitch angle, target pitch, airspeed, altitude.",Soft-time,30.0,Continuous,26
TAKEOFF,NORM,SOP,Slip/Skid,CHECK,yellow,yellow,red,,,Pilot expects TARS to alert if slip/skid exceeds safe limits.,,"Slip/skid indicator, airspeed, heading, bank angle.",Soft-time,10.0,Continuous,27
TAKEOFF,NORM,SOP,Climb rate,CHECK POSITIVE,yellow,yellow,green,,TARS displays climb rate status.,,,"Current climb rate, target climb rate, altitude, airspeed.",Soft-time,10.0,Continuous,28
TAKEOFF,NORM,SOP,"""Positive rate, gear up""",ANNOUNCE,green,yellow,green,,TARS must display climb rate; Human must hear TARS' announcement.,,,"Gear status, altitude, rate of climb.",Hard-time,5.0,One-off,29
TAKEOFF,NORM,SOP,LANDING GEAR,UP,green,red,red,,TARS confirms pilot's gear action.,,,"Gear position, airspeed, altitude, climb rate.",Soft-time.,10.0,One-off.,30
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Rudder,APPLY,yellow,red,red,,,,,"Engine status, airspeed, yaw rate, rudder position.",Hard-time,5.0,Continuous,31
ENG FAILURE DURING TAKEOFF,EMER,SOP,Rudder,TRIM,yellow,green,yellow,yellow,TARS displays rudder trim status. TARS display its own adjustments,TARS announces intended rudder trim adjustments before execution.,Pilot can override or adjust TARS rudder trim actions via voice command.,"Engine status, current rudder trim position, airspeed, and yaw rate.",Hard-time,10.0,Continuous,32
ENG FAILURE DURING TAKEOFF,EMER,SOP,Alarm,ANNOUNCE,yellow,yellow,green,,Human must see TARS's alarm status.,,Human can confirm TARS's alarm callout via voice command.,"Engine status, alarm type, current flight phase.",Hard-time,5.0,One-off,33
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Reset Master Warning""",ANNOUNCE,green,red,red,,,,,"Engine status, ATC frequency, emergency checklist.",Hard-time,10.0,One-off,34
ENG FAILURE DURING TAKEOFF,EMER,SOP,Master Warning,RESET,green,red,red,,,,,"Engine status, Master Warning status, ATC frequency.",Hard-time,10.0,One-off,35
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Director,SET TO MODE,yellow,green,green,,TARS displays current flight director mode and status changes to pilot.,TARS communicates intended flight director mode changes before execution.,Pilot can override or confirm TARS's flight director mode changes via voice command.,"Current flight director mode, engine status, autopilot engagement.",Hard-time,10.0,One-off,36
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Pitch,MAINTAIN 10°,yellow,red,red,,,,,"Current pitch angle, engine status, autopilot engagement.",Hard-time,5.0,Continuous,37
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,LANDING GEAR,UP,yellow,yellow,red,,TARS displays gear status and alerts pilot of any anomalies.,,,"Engine status, gear position, airspeed, altitude.",Hard-time.,10.0,One-off.,38
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Airspeed,CHECK V2,yellow,yellow,green,,TARS displays current airspeed and V2 status to pilot.,,,"Current airspeed, V2 speed, engine status.",Hard-time,5.0,Continuous,39
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Speed mode FLC V2, heading mode""",ANNOUNCE,yellow,yellow,green,,TARS displays active modes and pilot actions on shared interface.,TARS announces intended mode changes and expected pilot actions.,Pilot can override TARS via voice command or interface input.,"Current speed, heading, engine status, autopilot modes.",Hard-time,10.0,One-off,40
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot,SET SPD MODE,green,,green,,TARS must display autopilot mode changes to the pilot.,TARS should indicate upcoming autopilot adjustments.,Pilot can override TARS autopilot settings via voice command.,"Current airspeed, target speed, engine status.",Hard-time,10.0,One-off,41
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot,SET HDG MODE,green,,green,,Human sees TARS autopilot mode changes.,Human anticipates TARS heading adjustments.,Human commands TARS via voice for heading changes.,"Current heading, target heading, engine status.",Hard-time.,10.0,One-off.,42
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,CONTACT,yellow,yellow,orange,orange,TARS must display ATC communication status to the pilot.,Pilot must anticipate TARS's next ATC message.,Pilot can override TARS's ATC communication with voice command.,"Engine status, ATC frequency, emergency checklist.",Hard-time,30.0,Continuous,43
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,LISTEN,green,green,red,,,,,"Engine status, ATC frequency, emergency procedures.",Hard-time,10.0,Continuous,44
ENG FAILURE DURING TAKEOFF,EMER,SOP,ATC,READBACK,yellow,red,red,,,,,"Engine status, runway length remaining, ATC frequency.",Hard-time,10.0,One-off,45
ENG FAILURE DURING TAKEOFF,EMER,SOP,Altitude,CHECK 700ft AGL,yellow,yellow,green,,TARS displays altitude status.,,,"Altitude, engine status, airspeed, runway length remaining.",Hard-time,10.0,Continuous,46
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""700ft, engage autopilot""",ANNOUNCE,yellow,yellow,green,,,,Pilot can override or confirm TARS actions via verbal command.,"Autopilot status, altitude, engine status.",Hard-time,10.0,One-off,47
ENG FAILURE DURING TAKEOFF,EMER,SOP,Autopilot,ENGAGE,green,green,orange,orange,TARS displays autopilot status changes to pilot.,Pilot anticipates TARS's autopilot engagement sequence.,Pilot can override TARS's autopilot actions via command.,"Engine status, autopilot mode, runway length remaining.",Hard-time,10.0,One-off,48
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Altitude,CHECK 1500ft AGL,yellow,yellow,green,,TARS displays current altitude.,,,"Altitude, engine status, autopilot mode, ATC clearance.",Hard-time.,10.0,One-off.,49
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Airspeed,CHECK V2+10,yellow,yellow,green,,TARS displays airspeed and V2+10 status to pilot.,,,"Current airspeed, V2+10 target, engine status.",Hard-time,5.0,Continuous,50
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Obstacles,CHECK Clear,yellow,red,red,,,,,"Engine status, obstacle proximity, runway length, weather conditions.",Hard-time,10.0,One-off,51
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Retract flaps""",Announce,yellow,yellow,green,,TARS must display flap status.,,Pilot can override or confirm TARS actions via verbal command.,"Flap position, airspeed, engine status, runway length remaining.",Hard-time,10.0,One-off,52
ENG FAILURE DURING TAKEOFF,EMER,Memory item,FLAP Handle,UP,green,red,red,,,,,"Flap handle position, engine status, airspeed.",Hard-time,5.0,One-off,53
ENGINE FIRE,EMER,SOP,"""Affected thrust lever, confirm and idle""",ANNOUNCE,yellow,yellow,green,,TARS displays thrust lever status.,,Pilot can override TARS actions via voice command.,"Thrust lever position, engine status, fire warning.",Hard-time,10.0,One-off,54
