Procedure,Task,Human*,TARS,TARS*,Human,Observability,Predictability,Directability
Line-up and Hold,Confirm takeoff clearance,yellow,yellow,red,,"High - The autonomous agent needs to have a high level of observability in this task. It should be able to perceive the pilot's actions and intentions, such as the pilot's communication with the ATC, the status of the aircraft, and whether the pilot has received and understood the takeoff clearance. The agent should also be able to observe the status of the aircraft's systems and the environment, such as the runway condition and weather, to ensure that the takeoff can be safely performed.","Medium - The predictability requirement for the autonomous agent in this task is medium. While the agent should be able to anticipate the pilot's actions to a certain extent, such as expecting the pilot to communicate with the ATC and follow the takeoff clearance, there may be unexpected situations where the pilot's actions cannot be predicted, such as in the case of sudden changes in weather or aircraft conditions.","Low - The directability requirement for the autonomous agent in this task is low. As the task of confirming takeoff clearance is primarily the responsibility of the human pilot, the agent's role is more of a supporter. The agent can provide assistance by monitoring the status of the aircraft and the environment, and alerting the pilot of any issues, but it should not directly influence the pilot's actions or decisions in this task."
Line-up and Hold,Align with runway centerline,yellow,red,red,,High,Medium,Low
Line-up and Hold,Check winds,green,green,yellow,yellow,High - The autonomous agent needs to be able to observe the actions of the human pilot to ensure that the winds have been checked correctly. The human pilot also needs to be able to observe the actions of the autonomous agent to ensure that it is correctly supporting the task. The agent should be able to provide feedback to the pilot about the wind conditions and any potential issues. The interface should allow the pilot to easily see the status of the wind check task.,"High - The autonomous agent needs to be predictable in its actions so that the human pilot knows what to expect. The agent should follow a consistent process for checking the winds and should communicate its actions to the pilot in a clear and consistent manner. The pilot should also be predictable in their actions, following the established procedure for checking the winds.","Medium - The autonomous agent should be able to be directed by the human pilot to perform the wind check task, but it should also have some autonomy to perform the task on its own if necessary. The pilot should be able to intervene and direct the agent if they see that it is not performing the task correctly or if the wind conditions change. However, the agent should also be able to perform the task without constant direction from the pilot to increase efficiency."
Line-up and Hold,Hold brakes,green,red,red,,High,High,Low
Takeoff - Normal,Check CAS clear,yellow,yellow,green,,"High - The autonomous agent needs to have a high level of observability to monitor the actions and status of the human pilot effectively. This includes checking if the pilot is following the normal takeoff procedure and if the Crew Alerting System (CAS) is clear. The human pilot also needs to be able to observe the actions of the autonomous agent, especially if the agent is performing the task of checking the CAS.","High - The autonomous agent's actions need to be predictable to the human pilot. The pilot needs to anticipate what the agent will do next, especially in the context of the task of checking the CAS. This is crucial for the pilot to trust the agent and for effective collaboration. Similarly, the autonomous agent needs to predict the pilot's actions to provide timely support.","Medium - The autonomous agent should be able to take direction from the human pilot, especially if the pilot decides to override the agent's actions. However, the agent also needs some level of autonomy to perform tasks independently, particularly in situations where the human pilot might be overwhelmed or unable to perform the task. The pilot's ability to direct the agent's actions is less critical if the agent is the primary performer of the task."
Takeoff - Normal,"""Set thrust""",green,red,red,,High,Medium,Low
Takeoff - Normal,Set thrust,green,red,red,,High,Medium,Low
Takeoff - Normal,Check FADEC bug TO ,yellow,yellow,green,,"High - The autonomous agent must be able to observe the actions and status of the human pilot, especially during the takeoff procedure. It needs to understand whether the pilot is performing the task of checking the FADEC bug correctly and in a timely manner. Similarly, the human pilot must be able to observe the actions and intentions of the autonomous agent, particularly if the agent is supporting or taking over the task.","High - The autonomous agent should be able to predict the human pilot's actions and decisions accurately, especially in the context of the task at hand. This will allow the agent to provide timely and appropriate support. The human pilot should also be able to predict the actions and decisions of the autonomous agent, especially if the agent is performing the task. This will allow the pilot to monitor the agent's performance and intervene if necessary.","Medium - The autonomous agent should be able to influence the human pilot's actions and decisions to some extent, particularly if the pilot is not performing the task correctly or in a timely manner. However, the agent's ability to direct the pilot may be limited by the pilot's willingness to accept direction from the agent. Similarly, the human pilot should be able to direct the actions and decisions of the autonomous agent, especially if the agent is not performing the task correctly. However, the pilot's ability to direct the agent may be limited by the agent's programming and design."
Takeoff - Normal,Check engine spool evenly,yellow,yellow,green,,"High - The autonomous agent should be able to perceive the actions and status of the human pilot, especially when it comes to the task of checking the engine spool. This includes being able to monitor the pilot's actions and the status of the engine spool. The human pilot should also be able to perceive the actions and status of the autonomous agent, including any alerts or notifications it may issue regarding the engine spool.","High - The autonomous agent should be able to anticipate the actions of the human pilot, such as when they will check the engine spool and how they will react to any issues. The human pilot should also be able to anticipate the actions of the autonomous agent, such as when it will issue alerts or notifications and how it will respond to any issues with the engine spool.","Medium - The autonomous agent should be able to influence the actions of the human pilot, such as prompting them to check the engine spool or alerting them to any issues. However, the human pilot should also have the ability to override the autonomous agent's actions or decisions if necessary. The human pilot's ability to support the autonomous agent in this task is currently unknown, so this requirement may need to be adjusted as more information becomes available."
Takeoff - Normal,"""Thrust set""",green,green,green,,"High - The autonomous agent should be able to perceive the actions and intentions of the human pilot when setting the thrust. This includes being able to monitor the status of the controls and instruments related to thrust setting. Similarly, the human pilot should be able to observe the actions of the autonomous agent when it is setting the thrust, through clear and intuitive interfaces.","High - The autonomous agent should be able to anticipate the actions of the human pilot based on the current flight conditions and the standard procedure for normal takeoff. This includes understanding when the pilot is likely to set the thrust and how they are likely to do it. Similarly, the human pilot should be able to predict the actions of the autonomous agent, based on its programming and the current flight conditions.","Medium - The human pilot should be able to influence the actions of the autonomous agent, particularly if they need to take over the task of setting the thrust for any reason. However, the autonomous agent's ability to influence the actions of the human pilot may be limited, as the pilot has ultimate control over the aircraft. The agent can, however, provide recommendations or alerts to assist the pilot."
